label,sweep,dtype,device,machine,host,fn,d,batch,version
rtx_8000,dim,f64,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu186,Ackley,,1024,0.11.0
titan_x,batch,f16,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,64,,0.11.0
titan_x,batch,f32,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,64,,0.11.0
titan_x,batch,f64,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,64,,0.11.0
titan_x,dim,f16,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,,1024,0.11.0
titan_x,dim,f32,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,,1024,0.11.0
titan_x,dim,f64,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,,1024,0.11.0
v100,batch,f16,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu006,Ackley,64,,0.11.0
v100,batch,f32,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu006,Ackley,64,,0.11.0
v100,batch,f64,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu004,Ackley,64,,0.11.0
v100,dim,f16,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu006,Ackley,,1024,0.11.0
v100,dim,f32,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu006,Ackley,,1024,0.11.0
v100,dim,f64,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu004,Ackley,,1024,0.11.0
